datetime_utc,value
2020-10-27 22:00:00,0
2020-11-03 22:00:00,0
2020-11-10 22:00:00,0
2020-11-17 22:00:00,0
2020-11-24 22:00:00,0
2020-12-01 22:00:00,0
2020-12-08 22:00:00,0
2020-12-15 22:00:00,0
2020-12-22 22:00:00,0
2020-12-29 22:00:00,0
2021-01-05 22:00:00,0
2021-01-12 22:00:00,0
2021-01-19 22:00:00,0
2021-01-26 22:00:00,0
2021-02-02 22:00:00,0
2021-02-09 22:00:00,0
2021-02-16 22:00:00,0
2021-02-23 22:00:00,0
2021-03-02 22:00:00,0
2021-03-09 22:00:00,0
2021-03-16 22:00:00,0
2021-03-23 22:00:00,0
2021-03-30 22:00:00,0
2021-04-04 20:59:59,1.0056
2021-04-11 20:59:59,1.0072
2021-04-18 20:59:59,1.0139
2021-04-25 20:59:59,1.0108
2021-05-02 20:59:59,1.0143
2021-05-09 20:59:59,1.0297
2021-05-16 20:59:59,1.0298
2021-05-23 20:59:59,1.0307
2021-05-30 20:59:59,1.0353
2021-06-06 20:59:59,1.0344
2021-06-13 20:59:59,1.0379
2021-06-20 20:59:59,1.0259
2021-06-27 20:59:59,1.0312
2021-07-04 20:59:59,1.0394
2021-07-11 20:59:59,1.0404
2021-07-18 20:59:59,1.0409
2021-07-25 20:59:59,1.041
2021-08-01 20:59:59,1.0426
2021-08-08 20:59:59,1.0439
2021-08-15 20:59:59,1.0452
2021-08-22 20:59:59,1.0463
2021-08-29 20:59:59,1.0491
2021-09-05 20:59:59,1.0542
2021-09-12 20:59:59,1.0527
2021-09-19 20:59:59,1.0526
2021-09-26 20:59:59,1.0557
2021-10-03 20:59:59,1.0613
2021-10-10 20:59:59,1.0654
2021-10-17 20:59:59,1.0745
2021-10-24 20:59:59,1.0813
2021-10-31 21:59:59,1.0818
2021-11-07 21:59:59,1.0882
2021-11-14 21:59:59,1.0963
2021-11-21 21:59:59,1.0956
2021-11-28 21:59:59,1.0896
2021-12-05 21:59:59,1.0873
2021-12-12 21:59:59,1.0884
2021-12-19 21:59:59,1.0945
2021-12-26 21:59:59,1.0974
2021-12-31 21:59:59,1.0998
2022-01-09 21:59:59,1.0999
2022-01-16 21:59:59,1.1024
2022-01-23 21:59:59,1.1104
2022-01-30 21:59:59,1.1051
2022-02-06 21:59:59,1.1079
2022-02-13 21:59:59,1.1266
2022-02-20 21:59:59,1.1294
2022-02-27 21:59:59,1.1336
2022-03-06 21:59:59,1.1447
2022-03-13 21:59:59,1.1463
2022-03-20 21:59:59,1.1432
2022-03-27 20:59:59,1.1566
2022-04-03 20:59:59,1.1517
2022-04-10 20:59:59,1.1543
2022-04-17 20:59:59,1.1575
2022-04-24 20:59:59,1.1521
2022-05-01 20:59:59,1.1496
2022-05-08 20:59:59,1.1492
2022-05-15 20:59:59,1.146
2022-05-22 20:59:59,1.1541
2022-05-29 20:59:59,1.1561
2022-06-05 20:59:59,1.1718
2022-06-12 20:59:59,1.1736
2022-06-19 20:59:59,1.1728
2022-06-26 20:59:59,1.1696
2022-07-03 20:59:59,1.1663
2022-07-10 20:59:59,1.1677
2022-07-17 20:59:59,1.1676
2022-07-24 20:59:59,1.1679
2022-07-31 20:59:59,1.1769
2022-08-07 20:59:59,1.177
2022-08-14 20:59:59,1.1806
2022-08-21 20:59:59,1.1781
2022-08-28 20:59:59,1.18
2022-09-04 20:59:59,1.1793
2022-09-11 20:59:59,1.1829
2022-09-18 20:59:59,1.1883
2022-09-25 20:59:59,1.1877
2022-10-02 20:59:59,1.1887
2022-10-09 20:59:59,1.1944
2022-10-16 20:59:59,1.1859
2022-10-23 20:59:59,1.19
2022-10-30 21:59:59,1.1884
2022-11-06 21:59:59,1.197
2022-11-13 21:59:59,1.1986
2022-11-20 21:59:59,1.1972
2022-11-27 21:59:59,1.2179
2022-12-04 21:59:59,1.2223
2022-12-11 21:59:59,1.2234
2022-12-18 21:59:59,1.2221
2022-12-25 21:59:59,1.2233
2022-12-31 21:59:59,1.2236
2023-01-08 21:59:59,1.2237
2023-01-15 21:59:59,1.2237
2023-01-22 21:59:59,1.2225
2023-01-29 21:59:59,1.2244
2023-02-05 21:59:59,1.2214
2023-02-12 21:59:59,1.221
2023-02-19 21:59:59,1.2217
2023-02-26 21:59:59,1.2221
2023-03-05 21:59:59,1.2266
2023-03-12 21:59:59,1.2254
2023-03-19 21:59:59,1.2328
2023-03-26 20:59:59,1.234
2023-04-02 20:59:59,1.2377
2023-04-09 20:59:59,1.2402
2023-04-16 20:59:59,1.2417
2023-04-23 20:59:59,1.2409
2023-04-30 20:59:59,1.2415
2023-05-07 20:59:59,1.243
2023-05-14 20:59:59,1.2394
2023-05-21 20:59:59,1.2414
2023-05-28 20:59:59,1.2434
2023-06-04 20:59:59,1.2442
2023-06-11 20:59:59,1.2482
2023-06-18 20:59:59,1.2476
2023-06-25 20:59:59,1.2432
2023-07-02 20:59:59,1.247
2023-07-09 20:59:59,1.2513
2023-07-16 20:59:59,1.2546
2023-07-23 20:59:59,1.2552
2023-07-30 20:59:59,1.2579
2023-08-06 20:59:59,1.2588
2023-08-13 20:59:59,1.2567
2023-08-20 20:59:59,1.2573
2023-08-27 20:59:59,1.2644
2023-09-03 20:59:59,1.2657
2023-09-10 20:59:59,1.2706
2023-09-17 20:59:59,1.2711
2023-09-19 20:59:59,1.2718
2023-10-01 20:59:59,1.2721
2023-10-08 20:59:59,1.2743
2023-10-15 20:59:59,1.2777
2023-10-22 20:59:59,1.2816
2023-10-29 21:59:59,1.2812
2023-11-05 21:59:59,1.2909
2023-11-12 21:59:59,1.2886
2023-11-19 21:59:59,1.2911
2023-11-26 21:59:59,1.2925
2023-12-03 21:59:59,1.2966
2023-12-10 21:59:59,1.2936
2023-12-17 21:59:59,1.3004
2023-12-24 21:59:59,1.3032
2023-12-31 21:59:59,1.3021
2024-01-14 21:59:59,1.3011
2024-01-21 21:59:59,1.3041
2024-01-28 21:59:59,1.3075
2024-02-04 21:59:59,1.3128
2024-02-11 21:59:59,1.3126
2024-02-18 21:59:59,1.3253
2024-02-25 21:59:59,1.3238
2024-03-03 21:59:59,1.3269
2024-03-10 21:59:59,1.3318
2024-03-17 21:59:59,1.3342
2024-03-24 21:59:59,1.3387
2024-03-31 20:59:59,1.3394
2024-04-07 20:59:59,1.3507
2024-04-14 20:59:59,1.353
2024-04-21 20:59:59,1.3583
2024-04-28 20:59:59,1.3596
2024-05-05 20:59:59,1.3576
2024-05-12 20:59:59,1.3623
2024-05-19 20:59:59,1.3695
2024-05-26 20:59:59,1.3672
2024-06-02 20:59:59,1.3673
2024-06-09 20:59:59,1.3671
2024-06-16 20:59:59,1.3766
2024-06-23 20:59:59,1.3766
2024-06-30 20:59:59,1.3755
2024-07-07 20:59:59,1.3797
2024-07-14 20:59:59,1.3782
2024-07-21 20:59:59,1.3797
2024-07-28 20:59:59,1.3767
2024-08-04 20:59:59,1.3832
2024-08-11 20:59:59,1.3831
2024-08-18 20:59:59,1.3861
2024-08-25 20:59:59,1.4105
2024-09-01 20:59:59,1.4086
2024-09-08 20:59:59,1.4053
2024-09-15 20:59:59,1.4143
